rank,word,per_million,zipf,wordfreq_pm,opensubtitles_pm
311,hör,306.94,5.49,31.6,582.29
312,vielen,304.08,5.48,331.0,277.16
313,später,304.07,5.48,316.0,292.15
314,neuen,303.69,5.48,427.0,180.38
315,junge,302.53,5.48,204.0,401.06
316,musik,300.6,5.48,209.0,392.21
317,deinen,298.46,5.47,138.0,458.92
318,problem,297.56,5.47,234.0,361.11
319,liegt,297.18,5.47,355.0,239.37
320,große,297.18,5.47,355.0,239.36
321,angst,295.64,5.47,148.0,443.29
322,dies,295.63,5.47,417.0,174.26
323,erste,295.6,5.47,372.0,219.2
324,ordnung,295.13,5.47,85.1,505.16
325,beide,295.08,5.47,240.0,350.15
326,freund,293.85,5.47,129.0,458.69
327,halt,291.56,5.46,229.0,354.13
328,stehen,291.38,5.46,316.0,266.76
329,frauen,289.66,5.46,339.0,240.31
330,sofort,288.56,5.46,204.0,373.12
331,geh,287.04,5.46,83.2,490.87
332,denen,286.88,5.46,372.0,201.76
333,allein,286.55,5.46,219.0,354.11
334,sogar,286.29,5.46,331.0,241.59
335,teil,284.29,5.45,389.0,179.58
336,welche,284.12,5.45,355.0,213.24
337,rein,283.53,5.45,145.0,422.05
338,stimmt,283.09,5.45,145.0,421.18
339,gerne,282.18,5.45,309.0,255.36
340,würden,281.97,5.45,240.0,323.94
341,halten,279.86,5.45,219.0,340.73
342,beiden,279.74,5.45,380.0,179.48
343,daran,279.56,5.45,229.0,330.12
344,bekommen,279.33,5.45,263.0,295.65
345,habt,279.18,5.45,123.0,435.35
346,herr,278.82,5.45,174.0,383.64
347,scheiße,278.14,5.44,132.0,424.28
348,letzten,277.65,5.44,331.0,224.31
349,kleine,277.63,5.44,263.0,292.26
350,brauchen,276.15,5.44,145.0,407.31
351,glauben,275.54,5.44,132.0,419.08
352,niemand,274.56,5.44,174.0,375.12
353,art,274.26,5.44,324.0,224.53
354,gefunden,272.45,5.44,195.0,349.91
355,moment,269.42,5.43,135.0,403.84
356,dank,266.51,5.43,209.0,324.02
357,namen,265.31,5.42,234.0,296.61
358,allem,265.11,5.42,380.0,150.23
359,echt,264.02,5.42,219.0,309.05
360,lieber,263.9,5.42,204.0,323.81
361,wenig,263.31,5.42,309.0,217.63
362,bevor,262.76,5.42,155.0,370.52
363,weit,262.47,5.42,251.0,273.94
364,sohn,262.28,5.42,166.0,358.56
365,minuten,261.38,5.42,245.0,277.77
366,sache,261.12,5.42,174.0,348.24
367,allen,260.9,5.42,331.0,190.8
368,kind,260.83,5.42,186.0,335.66
369,einige,260.76,5.42,347.0,174.53
370,hilfe,260.62,5.42,174.0,347.25
371,mag,259.9,5.41,209.0,310.8
372,lässt,256.84,5.41,288.0,225.67
373,polizei,256.22,5.41,245.0,267.44
374,großen,256.13,5.41,355.0,157.25
375,kurz,255.22,5.41,269.0,241.45
376,egal,254.65,5.41,191.0,318.29
377,seite,254.51,5.41,309.0,200.03
378,ging,253.91,5.4,257.0,250.82
379,spiel,253.56,5.4,309.0,198.13
380,machst,253.32,5.4,58.9,447.75
381,arbeiten,252.42,5.4,251.0,253.85
382,wann,252.32,5.4,148.0,356.65
383,land,252.07,5.4,295.0,209.14
384,sowie,251.74,5.4,490.0,13.47
385,deutschen,250.34,5.4,468.0,32.68
386,geschichte,249.99,5.4,282.0,217.99
387,männer,249.8,5.4,200.0,299.6
388,denken,249.5,5.4,170.0,329.01
389,spielen,248.83,5.4,263.0,234.67
390,getan,248.47,5.4,72.4,424.53
391,kopf,247.82,5.39,200.0,295.65
392,warte,246.31,5.39,41.7,450.92
393,je,244.83,5.39,251.0,238.65
394,seid,244.79,5.39,102.0,387.59
395,bald,243.17,5.39,204.0,282.35
396,sprechen,242.95,5.39,135.0,350.89
397,gern,242.37,5.38,141.0,343.74
398,tot,242.31,5.38,56.2,428.43
399,ganzen,241.71,5.38,240.0,243.43
400,letzte,241.33,5.38,191.0,291.66
401,vier,240.96,5.38,275.0,206.91
402,oft,239.4,5.38,302.0,176.79
403,könnten,239.33,5.38,151.0,327.66
404,warten,238.57,5.38,102.0,375.14
405,gewesen,237.08,5.37,245.0,229.17
406,auto,236.36,5.37,200.0,272.71
407,sehe,234.67,5.37,151.0,318.33
408,grund,233.16,5.37,234.0,232.31
409,glück,232.99,5.37,174.0,291.98
410,musste,232.8,5.37,240.0,225.61
411,hinter,229.62,5.36,209.0,250.25
412,fertig,229.61,5.36,105.0,354.23
413,deshalb,229.45,5.36,245.0,213.91
414,zwar,229.38,5.36,331.0,127.75
415,vergessen,228.34,5.36,141.0,315.67
416,fahren,227.51,5.36,158.0,297.02
417,stunden,227.36,5.36,229.0,225.73
418,woche,227.26,5.36,240.0,214.51
419,überhaupt,226.72,5.36,219.0,234.44
420,bleibt,226.09,5.35,251.0,201.18
421,platz,225.8,5.35,288.0,163.61
422,bisschen,225.79,5.35,170.0,281.57
423,lang,225.75,5.35,214.0,237.49
424,deiner,225.19,5.35,129.0,321.39
425,hätten,223.46,5.35,182.0,264.92
426,all,223.39,5.35,158.0,288.77
427,dinge,223.27,5.35,166.0,280.54
428,augen,222.79,5.35,178.0,267.58
429,eben,222.33,5.35,245.0,199.65
430,freunde,220.23,5.34,151.0,289.46
431,worden,220.11,5.34,331.0,109.21
432,finde,219.59,5.34,200.0,239.19
433,anders,217.59,5.34,214.0,221.18
434,kennen,217.08,5.34,117.0,317.15
435,treffen,216.74,5.34,178.0,255.48
436,bruder,216.24,5.33,102.0,330.49
437,hand,216.17,5.33,200.0,232.34
438,tage,215.95,5.33,240.0,191.89
439,wusste,215.5,5.33,87.1,343.89
440,wasser,214.54,5.33,209.0,220.08
441,braucht,211.56,5.33,178.0,245.13
442,deinem,210.73,5.32,105.0,316.47
443,verstehe,210.66,5.32,83.2,338.12
444,endlich,209.31,5.32,195.0,223.62
445,möglich,209.18,5.32,251.0,167.35
446,stellen,208.4,5.32,240.0,176.8
447,schwer,208.37,5.32,195.0,221.75
448,fünf,207.66,5.32,195.0,220.32
449,deutsche,206.99,5.32,372.0,41.99
450,kleinen,206.33,5.31,219.0,193.65
451,brauche,206.06,5.31,57.5,354.63
452,oben,205.44,5.31,186.0,224.88
453,mache,203.24,5.31,93.3,313.17
454,schule,203.13,5.31,219.0,187.26
455,ort,202.73,5.31,204.0,201.46
456,darum,202.34,5.31,158.0,246.69
457,idee,201.54,5.3,158.0,245.09
458,hoch,201.45,5.3,191.0,211.9
459,unserer,201.0,5.3,200.0,202.0
460,besten,199.94,5.3,234.0,165.87
461,einzige,199.83,5.3,151.0,248.67
462,kaum,199.59,5.3,234.0,165.18
463,zeigen,199.24,5.3,195.0,203.48
464,alter,198.8,5.3,186.0,211.6
465,wahr,198.65,5.3,63.1,334.2
466,vorbei,198.26,5.3,141.0,255.52
467,keiner,197.49,5.3,158.0,236.98
468,ziemlich,196.85,5.29,151.0,242.71
469,verdammt,196.43,5.29,46.8,346.06
470,jedoch,195.71,5.29,363.0,28.42
471,suchen,195.12,5.29,151.0,239.24
472,toll,194.87,5.29,110.0,279.74
473,besonders,194.29,5.29,282.0,106.59
474,bestimmt,193.23,5.29,174.0,212.46
475,wichtig,193.1,5.29,195.0,191.21
476,weitere,192.42,5.28,309.0,75.84
477,leider,192.07,5.28,240.0,144.14
478,siehst,191.9,5.28,44.7,339.1
479,verstehen,191.64,5.28,148.0,235.28
480,allerdings,191.51,5.28,324.0,59.02
481,gehe,191.22,5.28,89.1,293.34
482,bereit,190.68,5.28,105.0,276.36
483,weniger,190.66,5.28,263.0,118.32
484,komme,190.43,5.28,69.2,311.67
485,beste,190.09,5.28,178.0,202.17
486,eigenen,189.87,5.28,251.0,128.74
487,name,189.85,5.28,138.0,241.71
488,spaß,189.29,5.28,166.0,212.58
489,bringt,188.21,5.27,162.0,214.42
490,tod,185.9,5.27,145.0,226.81
491,sage,185.7,5.27,60.3,311.11
492,eins,185.59,5.27,93.3,277.89
493,warst,185.53,5.27,26.9,344.16
494,läuft,185.39,5.27,148.0,222.79
495,ahnung,183.51,5.26,93.3,273.72
496,neben,183.36,5.26,295.0,71.72
497,alten,183.28,5.26,204.0,162.55
498,sorgen,183.23,5.26,117.0,249.46
499,tochter,183.18,5.26,120.0,246.37
500,gestern,182.87,5.26,141.0,224.74
501,eure,182.82,5.26,97.7,267.93
502,ernst,182.01,5.26,162.0,202.03
503,sah,180.24,5.26,117.0,243.47
504,kenne,179.86,5.25,97.7,262.02
505,gekommen,179.5,5.25,141.0,218.01
506,jede,178.77,5.25,200.0,157.54
507,direkt,178.75,5.25,219.0,138.5
508,job,178.63,5.25,120.0,237.27
509,manchmal,178.02,5.25,155.0,201.05
510,eltern,177.42,5.25,182.0,172.84
511,statt,176.42,5.25,295.0,57.84
512,wort,176.36,5.25,166.0,186.72
513,tür,176.34,5.25,79.4,273.27
514,außerdem,176.13,5.25,240.0,112.26
515,findet,176.03,5.25,240.0,112.06
516,baby,175.39,5.24,51.3,299.49
517,verloren,174.78,5.24,117.0,232.57
518,nächsten,173.32,5.24,200.0,146.65
519,scheint,172.78,5.24,174.0,171.56
520,hoffe,172.74,5.24,120.0,225.48
521,versucht,172.39,5.24,126.0,218.78
522,krieg,172.27,5.24,148.0,196.53
523,dran,171.75,5.23,89.1,254.39
524,meinst,171.7,5.23,63.1,280.29
525,jungs,171.47,5.23,74.1,268.83
526,bild,170.58,5.23,251.0,90.17
527,mensch,170.29,5.23,162.0,178.59
528,alte,170.12,5.23,170.0,170.24
529,draußen,169.71,5.23,66.1,273.32
530,bedeutet,169.24,5.23,123.0,215.47
531,gib,168.85,5.23,28.8,308.91
532,danach,168.06,5.23,200.0,136.11
533,versuchen,167.37,5.22,110.0,224.73
534,stand,167.01,5.22,229.0,105.03
535,solche,165.98,5.22,219.0,112.97
536,hi,165.32,5.22,36.3,294.34
537,sterben,165.24,5.22,64.6,265.87
538,anderes,165.14,5.22,138.0,192.28
539,früher,164.07,5.22,166.0,162.15
540,sieh,163.84,5.21,17.0,310.69
541,wochen,163.77,5.21,182.0,145.55
542,hört,163.58,5.21,91.2,235.96
543,frei,163.49,5.21,158.0,168.98
544,deren,162.76,5.21,275.0,50.51
545,nachdem,162.31,5.21,204.0,120.63
546,fest,162.05,5.21,158.0,166.1
547,dürfen,161.87,5.21,166.0,157.74
548,eher,161.61,5.21,209.0,114.23
549,jemanden,161.38,5.21,75.9,246.87
550,schlecht,161.3,5.21,135.0,187.6
551,trotzdem,159.78,5.2,178.0,141.56
552,drin,159.7,5.2,75.9,243.5
553,neu,159.52,5.2,229.0,90.04
554,straße,158.41,5.2,186.0,130.82
555,damals,158.26,5.2,195.0,121.51
556,erzählt,158.12,5.2,93.3,222.94
557,alt,157.14,5.2,145.0,169.29
558,verstanden,156.22,5.19,79.4,233.04
559,sachen,156.02,5.19,123.0,189.04
560,chance,156.01,5.19,115.0,197.01
561,film,155.05,5.19,170.0,140.1
562,töten,154.3,5.19,26.9,281.7
563,irgendwie,154.14,5.19,141.0,167.28
564,guter,153.73,5.19,110.0,197.46
565,spät,153.7,5.19,64.6,242.8
566,ruhe,153.48,5.19,77.6,229.35
567,außer,153.33,5.19,141.0,165.67
568,wären,152.92,5.18,120.0,185.84
569,geworden,152.26,5.18,166.0,138.53
570,gegeben,152.05,5.18,155.0,149.1
571,falls,151.96,5.18,123.0,180.92
572,schwester,151.5,5.18,58.9,244.1
573,runter,151.34,5.18,43.7,258.99
574,zimmer,151.22,5.18,93.3,209.14
575,gefallen,151.13,5.18,95.5,206.77
576,wahrheit,151.08,5.18,87.1,215.07
577,fand,150.62,5.18,170.0,131.25
578,ruhig,150.5,5.18,57.5,243.5
579,person,150.48,5.18,195.0,105.96
580,schau,150.14,5.18,89.1,211.19
581,beispiel,149.69,5.18,224.0,75.38
582,stelle,149.66,5.18,166.0,133.31
583,stark,148.92,5.17,191.0,106.84
584,jungen,148.24,5.17,135.0,161.48
585,solltest,148.04,5.17,53.7,242.38
586,niemals,147.72,5.17,89.1,206.34
587,neues,147.6,5.17,158.0,137.2
588,leicht,147.51,5.17,174.0,121.01
589,groß,147.29,5.17,162.0,132.58
590,freundin,147.23,5.17,97.7,196.76
591,unseren,146.94,5.17,120.0,173.88
592,verlassen,146.79,5.17,89.1,204.48
593,buch,146.63,5.17,166.0,127.26
594,schuld,146.47,5.17,87.1,205.85
595,gesicht,145.6,5.16,110.0,181.2
596,unternehmen,145.15,5.16,240.0,50.29
597,wahrscheinlich,145.0,5.16,132.0,157.99
598,schreiben,144.84,5.16,178.0,111.68
599,wollten,144.29,5.16,83.2,205.38
600,voll,144.27,5.16,148.0,140.54
601,millionen,143.73,5.16,178.0,109.46
602,laut,143.05,5.16,170.0,116.09
603,daher,142.61,5.15,234.0,51.22
604,setzen,142.3,5.15,126.0,158.6
605,typ,142.23,5.15,100.0,184.46
606,jedes,142.13,5.15,158.0,126.26
